sra_accession,site_name,sequencing_lab,date,total_read_pairs,total_virus_hits,ra,below_species_counts,species_counts,genus_counts,family_counts,order_counts,class_counts,phylum_counts,kingdom_counts,domain_counts,realm_counts,unresolved_counts
SAMN47830562,"Chicago (CHI-A), IL",MU,2025-02-10,855923936,56953,6.653979121808319e-05,52501,3915,481,56,0,0,0,0,0,0,0
SAMN47830567,"Chicago (CHI-A), IL",MU,2025-02-17,763339306,192939,0.0002527565376019,183859,7632,1347,90,0,0,0,0,0,0,11
SAMN47830575,"Chicago (CHI-A), IL",MU,2025-02-23,1224279817,73217,5.980413871349478e-05,68502,4039,627,48,0,0,0,0,0,0,1
SAMN47830582,"Chicago (CHI-A), IL",MU,2025-03-02,918789647,168255,0.0001831267913709,159615,7341,1224,68,0,0,0,0,0,0,7
SAMN47830591,"Chicago (CHI-A), IL",MU,2025-03-09,652242096,43197,6.622847599827411e-05,39666,3145,360,15,0,0,0,0,0,0,11
SAMN53134949,"Chicago (CHI-A), IL",MU,2025-03-16,1009842968,88271,8.741062006385136e-05,85082,2566,603,18,0,0,0,0,0,0,2
SAMN53134950,"Chicago (CHI-A), IL",MU,2025-03-23,763648898,44145,5.780797970849687e-05,41018,2822,275,25,0,0,0,0,0,0,5
SAMN53134951,"Chicago (CHI-A), IL",MU,2025-03-30,741473886,192089,0.000259063742671,187997,3547,528,17,0,0,0,0,0,0,0
SAMN53134952,"Chicago (CHI-A), IL",MU,2025-04-06,1139329400,77681,6.818133544170808e-05,73936,3143,582,15,0,0,0,0,0,0,5
SAMN53134953,"Chicago (CHI-A), IL",MU,2025-04-13,974481715,86782,8.905451858581052e-05,83143,2983,633,16,0,0,0,0,0,0,7
SAMN53134954,"Chicago (CHI-A), IL",MU,2025-04-20,719037136,55973,7.784437993199839e-05,54027,1546,388,9,0,0,0,0,0,0,3
SAMN53134955,"Chicago (CHI-A), IL",MU,2025-04-27,661947970,136940,0.0002068742653595,131484,4423,955,72,0,0,0,0,0,0,6
SAMN53134956,"Chicago (CHI-A), IL",MU,2025-05-04,649919420,325324,0.0005005605156405,313103,10250,1915,47,0,0,0,0,0,0,9
SAMN53134957,"Chicago (CHI-A), IL",MU,2025-05-11,1042257623,394385,0.0003783949297149,381898,9591,2803,65,0,0,0,0,0,0,28
SAMN53134958,"Chicago (CHI-A), IL",MU,2025-05-18,857014738,316651,0.0003694813939127,305303,8721,2539,65,0,0,0,3,0,0,20
SAMN53134959,"Chicago (CHI-A), IL",MU,2025-05-25,1093960087,396415,0.0003623669681469,388472,6979,865,96,0,0,0,0,0,0,3
SAMN53134960,"Chicago (CHI-A), IL",MU,2025-06-01,1019570449,309785,0.0003038387394454,293027,11549,5057,113,9,0,0,0,0,0,30
SAMN53134961,"Chicago (CHI-A), IL",MU,2025-06-08,1397168997,327152,0.0002341534923137,310975,12541,3502,117,0,0,0,0,0,0,17
SAMN53134962,"Chicago (CHI-A), IL",MU,2025-06-15,1446393038,359922,0.0002488410760727,343835,11946,4014,120,0,0,0,0,0,0,7
SAMN53134963,"Chicago (CHI-A), IL",MU,2025-06-22,1621494740,392157,0.0002418490731582,364880,22438,4606,219,0,0,0,0,0,0,14
SAMN53134964,"Chicago (CHI-A), IL",MU,2025-06-29,1249884877,216576,0.0001732767585122,197482,16328,2604,145,0,0,0,0,0,0,17
SAMN53134965,"Chicago (CHI-A), IL",MU,2025-07-06,1049969718,193464,0.0001842567425358,173994,16826,2471,168,0,0,0,0,0,0,5
SAMN53134966,"Chicago (CHI-A), IL",MU,2025-07-13,708071965,63353,8.947254393838344e-05,52127,9187,2039,0,0,0,0,0,0,0,0
SAMN53134967,"Chicago (CHI-A), IL",MU,2025-07-20,852826244,65957,7.733931790213529e-05,57319,7754,749,135,0,0,0,0,0,0,0
SAMN53134968,"Chicago (CHI-A), IL",MU,2025-07-27,921455993,165936,0.0001800802222358,144923,18658,2158,175,0,0,0,0,0,0,22
SAMN53135031,"Chicago (CHI-A), IL",MU,2025-08-03,934120808,110037,0.0001177973973576,93837,14598,1454,136,0,0,0,0,0,0,12
SAMN53135032,"Chicago (CHI-A), IL",MU,2025-08-10,781221384,107561,0.0001376831231235,93873,11795,1752,115,0,0,0,0,0,0,26
SAMN53135033,"Chicago (CHI-A), IL",MU,2025-08-17,877534199,76592,8.728092886554271e-05,62631,11958,1840,133,0,0,0,0,0,0,30
SAMN53135034,"Chicago (CHI-A), IL",MU,2025-08-26,799770794,54427,6.805324776588429e-05,43147,10275,971,34,0,0,0,0,0,0,0
SAMN53135035,"Chicago (CHI-A), IL",MU,2025-08-31,1018579834,72918,7.158790854286636e-05,60465,11594,788,62,0,0,0,0,0,0,9
SAMN53135036,"Chicago (CHI-A), IL",MU,2025-09-07,1255474288,143480,0.0001142835033512,119024,22223,2037,179,0,0,0,0,0,0,17
SAMN53135037,"Chicago (CHI-A), IL",MU,2025-09-14,898134070,43765,4.87288050435499e-05,36337,6977,396,47,0,0,0,0,0,0,8
SAMN53135038,"Chicago (CHI-A), IL",MU,2025-09-21,1186117272,71695,6.0445119291711995e-05,59822,10812,962,94,0,0,0,0,0,0,5
SAMN53135039,"Chicago (CHI-A), IL",MU,2025-09-28,844909740,59429,7.033769074552271e-05,46979,11486,838,105,0,0,0,0,0,0,21
SAMN53135040,"Chicago (CHI-A), IL",MU,2025-10-05,558115816,18259,3.271543195256807e-05,14563,3393,276,19,0,0,0,0,0,0,8
SAMN53135041,"Chicago (CHI-A), IL",MU,2025-10-12,1275989326,62488,4.897219649625815e-05,50969,10604,799,104,0,0,0,0,0,0,12
SAMN53135042,"Chicago (CHI-A), IL",MU,2025-10-19,1395606124,17469,1.25171419783767e-05,12552,4560,337,17,0,0,0,0,0,0,3
SAMN54610778,"Chicago (CHI-A), IL",MU,2025-10-26,1484650638,101783,6.85568694714022e-05,88961,11867,819,119,0,0,0,0,0,0,17
SAMN54610779,"Chicago (CHI-A), IL",MU,2025-11-02,934952196,58296,6.235185098169447e-05,51145,6449,640,52,0,0,0,0,0,0,10
SAMN54610780,"Chicago (CHI-A), IL",MU,2025-11-09,1142997449,18982,1.6607211167975232e-05,16069,2650,226,31,0,0,0,0,0,0,6
SAMN54610781,"Chicago (CHI-A), IL",MU,2025-11-16,1346209605,123462,9.171082983024772e-05,110464,11817,1092,79,0,0,0,0,0,0,10
SAMN54610782,"Chicago (CHI-A), IL",MU,2025-11-23,684202127,80237,0.000117270901147,72444,6901,848,42,0,0,0,0,0,0,2
SAMN54610783,"Chicago (CHI-A), IL",MU,2025-11-30,748282118,64247,8.585932825939855e-05,56259,6280,1647,53,0,0,0,0,0,0,8
SAMN55038709,"Chicago (CHI-A), IL",MU,2025-12-07,980728657,35395,3.6090512648291055e-05,31264,3762,321,46,0,0,0,0,0,0,2
SAMN55038710,"Chicago (CHI-A), IL",MU,2025-12-14,943290003,113342,0.000120156049189,103339,8921,958,116,0,0,0,0,0,0,8
SAMN55038711,"Chicago (CHI-A), IL",MU,2025-12-21,953046343,74311,7.797207401907003e-05,68065,5415,772,52,0,0,0,0,0,0,7
SAMN55038712,"Chicago (CHI-A), IL",MU,2025-12-28,640377947,1333,2.0815832372815925e-06,1176,150,5,2,0,0,0,0,0,0,0
SAMN47830447,"Chicago (CHI-C), IL",MU,2024-10-14,1562453067,45564,2.9161835937565477e-05,34178,7716,3419,248,0,0,0,0,0,0,3
SAMN47830477,"Chicago (CHI-C), IL",MU,2024-11-18,823070754,67733,8.229304670446352e-05,55327,11723,496,187,0,0,0,0,0,0,0
SAMN47830484,"Chicago (CHI-C), IL",MU,2024-11-25,675227989,35868,5.311983594329352e-05,31527,4038,231,69,0,0,0,0,0,0,3
SAMN47830495,"Chicago (CHI-C), IL",MU,2024-12-09,796029608,85444,0.0001073377160111,75281,9032,968,160,0,0,0,0,0,0,3
SAMN47830503,"Chicago (CHI-C), IL",MU,2024-12-16,1504975927,8788,5.839296059384742e-06,7820,893,61,14,0,0,0,0,0,0,0
SAMN47830519,"Chicago (CHI-C), IL",MU,2024-12-30,1154328055,18640,1.6147922524502793e-05,17217,1309,82,32,0,0,0,0,0,0,0
SAMN47830526,"Chicago (CHI-C), IL",MU,2025-01-06,1147310223,201176,0.0001753457748105,192427,7464,1103,181,0,0,0,0,0,0,1
SAMN47830534,"Chicago (CHI-C), IL",MU,2025-01-13,770294164,172324,0.0002237119376643,158236,13317,400,365,0,0,0,0,0,0,6
SAMN47830554,"Chicago (CHI-C), IL",MU,2025-02-02,890534005,19111,2.14601574928068e-05,18073,996,38,3,0,0,0,0,0,0,1
SAMN47830563,"Chicago (CHI-C), IL",MU,2025-02-10,889814688,32052,3.6020983281408814e-05,29372,2504,167,9,0,0,0,0,0,0,0
SAMN47830574,"Chicago (CHI-C), IL",MU,2025-02-20,1195468416,259232,0.0002168455448345,242187,16101,698,244,0,0,0,0,0,0,2
SAMN47830586,"Chicago (CHI-C), IL",MU,2025-03-03,1067490723,30925,2.8969806794283498e-05,28731,2000,182,10,0,0,0,0,0,0,2
SAMN47830595,"Chicago (CHI-C), IL",MU,2025-03-10,834933948,100933,0.0001208874070119,94701,5341,841,50,0,0,0,0,0,0,0
SAMN53134989,"Chicago (CHI-C), IL",MU,2025-03-17,512191515,57489,0.0001122412189901,54453,2765,268,3,0,0,0,0,0,0,0
SAMN53134990,"Chicago (CHI-C), IL",MU,2025-03-24,356906372,202922,0.0005685580755055,166420,35633,869,0,0,0,0,0,0,0,0
SAMN53134991,"Chicago (CHI-C), IL",MU,2025-03-31,667877969,273255,0.0004091391132561,237999,34075,1148,30,0,0,0,0,0,0,3
SAMN53134992,"Chicago (CHI-C), IL",MU,2025-04-07,1140282787,272752,0.000239196805485,196451,75412,855,22,0,0,0,0,0,0,12
SAMN53134993,"Chicago (CHI-C), IL",MU,2025-04-14,1139806715,58933,5.1704380422078846e-05,56224,2274,343,86,0,0,0,0,0,0,6
SAMN53134994,"Chicago (CHI-C), IL",MU,2025-04-21,672698950,381842,0.0005676268708312,291532,87739,2286,276,0,0,1,1,0,0,7
SAMN53134995,"Chicago (CHI-C), IL",MU,2025-04-28,679588215,222561,0.0003274939074686,48330,174033,190,7,0,0,0,0,0,0,1
SAMN53134996,"Chicago (CHI-C), IL",MU,2025-05-05,791639207,387559,0.000489565191533,326875,59072,1575,28,0,0,0,0,0,0,9
SAMN53134997,"Chicago (CHI-C), IL",MU,2025-05-12,568797866,97044,0.0001706124544426,84500,11971,573,0,0,0,0,0,0,0,0
SAMN53134998,"Chicago (CHI-C), IL",MU,2025-05-19,1052405290,185273,0.0001760471956578,172114,12525,618,16,0,0,0,0,0,0,0
SAMN53134999,"Chicago (CHI-C), IL",MU,2025-06-02,1051001160,530312,0.0005045779397617,434092,87191,8870,150,0,0,0,0,0,0,9
SAMN53135000,"Chicago (CHI-C), IL",MU,2025-06-09,1397184614,288410,0.0002064222559496,261611,25142,1561,88,0,0,0,0,0,0,8
SAMN53135001,"Chicago (CHI-C), IL",MU,2025-06-16,1557742559,194987,0.0001251728014192,186202,7621,1116,37,0,0,0,0,0,0,11
SAMN53135002,"Chicago (CHI-C), IL",MU,2025-06-23,1429031432,411380,0.0002878733041051,398708,11562,987,107,0,0,0,0,0,0,16
SAMN53135003,"Chicago (CHI-C), IL",MU,2025-06-30,1446263325,184898,0.0001278453216671,163406,20684,765,43,0,0,0,0,0,0,0
SAMN53135004,"Chicago (CHI-C), IL",MU,2025-07-14,961440061,33205,3.453673437058912e-05,28452,4478,275,0,0,0,0,0,0,0,0
SAMN53135005,"Chicago (CHI-C), IL",MU,2025-07-21,1078719643,90085,8.351104069030103e-05,83512,6001,508,64,0,0,0,0,0,0,0
SAMN53135006,"Chicago (CHI-C), IL",MU,2025-07-28,970579470,51764,5.333308770687268e-05,45350,5913,423,78,0,0,0,0,0,0,0
SAMN53135053,"Chicago (CHI-C), IL",MU,2025-08-04,996405812,78933,7.921772339079853e-05,74794,3873,229,36,0,0,0,0,0,0,1
SAMN53135054,"Chicago (CHI-C), IL",MU,2025-08-11,959374853,96799,0.000100897995916,88980,7332,474,13,0,0,0,0,0,0,0
SAMN53135055,"Chicago (CHI-C), IL",MU,2025-08-18,907620155,217842,0.0002400145025426,202096,13235,2431,56,0,0,0,0,0,0,24
SAMN53135056,"Chicago (CHI-C), IL",MU,2025-08-26,979291084,44428,4.536751199503415e-05,38101,5968,329,30,0,0,0,0,0,0,0
SAMN53135057,"Chicago (CHI-C), IL",MU,2025-09-08,1138166808,26511,2.3292719321683117e-05,22170,4175,119,20,0,0,0,0,0,0,27
SAMN53135058,"Chicago (CHI-C), IL",MU,2025-09-15,891180574,44377,4.9795744313430246e-05,39485,4458,411,22,0,0,0,0,0,0,1
SAMN53135059,"Chicago (CHI-C), IL",MU,2025-09-22,1345453409,107019,7.9541215834104e-05,96295,9789,916,19,0,0,0,0,0,0,0
SAMN53135060,"Chicago (CHI-C), IL",MU,2025-09-29,865358383,70443,8.140326757544106e-05,64598,5339,476,30,0,0,0,0,0,0,0
SAMN53135061,"Chicago (CHI-C), IL",MU,2025-10-06,1161224435,103122,8.880453846116319e-05,89553,12755,789,25,0,0,0,0,0,0,0
SAMN53135062,"Chicago (CHI-C), IL",MU,2025-10-13,1286931496,90733,7.050336422879808e-05,82159,7924,554,88,0,0,0,0,0,0,8
SAMN53135063,"Chicago (CHI-C), IL",MU,2025-10-20,1277155419,52516,4.111950606694329e-05,45398,6681,422,8,0,0,0,0,0,0,7
SAMN54610790,"Chicago (CHI-C), IL",MU,2025-10-27,1615639819,95950,5.9388236704507714e-05,85836,8957,1096,45,0,0,0,0,0,0,16
SAMN54610791,"Chicago (CHI-C), IL",MU,2025-11-03,1506932149,152437,0.0001011571755909,141550,10266,522,94,0,0,0,0,0,0,5
SAMN54610792,"Chicago (CHI-C), IL",MU,2025-11-10,1270357646,102697,8.084101380691025e-05,89652,12211,744,81,0,0,0,0,0,0,9
SAMN54610793,"Chicago (CHI-C), IL",MU,2025-11-17,889995956,6251,7.023627419718298e-06,5593,626,32,0,0,0,0,0,0,0,0
SAMN54610794,"Chicago (CHI-C), IL",MU,2025-11-24,684872389,72874,0.000106405224054,65289,7128,440,17,0,0,0,0,0,0,0
SAMN54610795,"Chicago (CHI-C), IL",MU,2025-12-01,783121072,138370,0.000176690431336,131661,6327,356,20,0,0,0,0,0,0,6
SAMN55038719,"Chicago (CHI-C), IL",MU,2025-12-08,1221211656,83699,6.853766878884097e-05,71470,11318,532,375,0,0,0,0,0,0,4
SAMN55038720,"Chicago (CHI-C), IL",MU,2025-12-15,1135272171,30039,2.645973429749473e-05,28424,1476,126,11,0,0,0,0,0,0,2
SAMN55038721,"Chicago (CHI-C), IL",MU,2025-12-22,856030951,3934,4.595628225129444e-06,3646,265,23,0,0,0,0,0,0,0,0
SAMN55038722,"Chicago (CHI-C), IL",MU,2025-12-29,969168863,18867,1.946719578010215e-05,16916,1774,125,50,0,0,0,0,0,0,2
SAMN47830430,"Chicago (CHI-D1), IL",MU,2024-09-15,830929363,7972,9.59407665077302e-06,6127,1721,62,62,0,0,0,0,0,0,0
SAMN47830457,"Chicago (CHI-D1), IL",MU,2024-10-27,974508151,5155,5.289848006617648e-06,4286,823,25,21,0,0,0,0,0,0,0
SAMN47830463,"Chicago (CHI-D1), IL",MU,2024-11-03,851024254,9364,1.1003211666397466e-05,7811,1441,82,30,0,0,0,0,0,0,0
SAMN47830469,"Chicago (CHI-D1), IL",MU,2024-11-10,798246009,10510,1.3166367111770928e-05,8527,1869,63,51,0,0,0,0,0,0,0
SAMN47830475,"Chicago (CHI-D1), IL",MU,2024-11-17,731213525,33481,4.5788266840387015e-05,28576,4484,348,73,0,0,0,0,0,0,0
SAMN47830482,"Chicago (CHI-D1), IL",MU,2024-11-24,674465839,30394,4.5063809377008346e-05,24996,5096,194,108,0,0,0,0,0,0,0
SAMN47830489,"Chicago (CHI-D1), IL",MU,2024-12-01,691281534,8728,1.2625825471565395e-05,7886,777,50,15,0,0,0,0,0,0,0
SAMN47830493,"Chicago (CHI-D1), IL",MU,2024-12-08,668388973,3569,5.339705088162788e-06,3138,371,46,14,0,0,0,0,0,0,0
SAMN47830501,"Chicago (CHI-D1), IL",MU,2024-12-15,1281267625,27484,2.145063175228516e-05,24561,2675,172,76,0,0,0,0,0,0,0
SAMN47830509,"Chicago (CHI-D1), IL",MU,2024-12-22,887068254,61709,6.95651092480647e-05,57115,4005,505,83,0,0,1,0,0,0,0
SAMN47830516,"Chicago (CHI-D1), IL",MU,2024-12-29,641884229,817,1.272815194841e-06,727,86,1,3,0,0,0,0,0,0,0
SAMN47830524,"Chicago (CHI-D1), IL",MU,2025-01-05,1086788444,3567,3.282147523460417e-06,3259,283,21,3,0,0,0,0,0,0,1
SAMN47830532,"Chicago (CHI-D1), IL",MU,2025-01-12,804962799,48197,5.987481664975675e-05,44242,3646,274,34,0,0,0,0,0,0,1
SAMN47830540,"Chicago (CHI-D1), IL",MU,2025-01-19,813093816,7979,9.813135757510176e-06,7315,602,45,17,0,0,0,0,0,0,0
SAMN47830547,"Chicago (CHI-D1), IL",MU,2025-01-26,798064856,2141,2.682739358716981e-06,1976,148,16,1,0,0,0,0,0,0,0
SAMN47830555,"Chicago (CHI-D1), IL",MU,2025-02-02,728315544,7349,1.009040663836223e-05,6807,482,42,18,0,0,0,0,0,0,0
SAMN47830560,"Chicago (CHI-D1), IL",MU,2025-02-09,879612140,6431,7.311176946693801e-06,5802,584,43,2,0,0,0,0,0,0,0
SAMN47830569,"Chicago (CHI-D1), IL",MU,2025-02-17,1082619783,66838,6.173727937502505e-05,62306,4026,466,40,0,0,0,0,0,0,0
SAMN47830577,"Chicago (CHI-D1), IL",MU,2025-02-23,1122642974,134280,0.0001196106002619,126019,7129,1059,72,0,0,0,0,0,0,1
SAMN47830583,"Chicago (CHI-D1), IL",MU,2025-03-02,1273075576,46957,3.688469159665977e-05,44097,2379,466,14,0,0,0,0,0,0,1
SAMN47830593,"Chicago (CHI-D1), IL",MU,2025-03-09,925416999,4351,4.701664227803967e-06,4092,232,26,1,0,0,0,0,0,0,0
SAMN56287609,"Chicago (CHI-D1), IL",MU,2025-03-16,1112490786,11211,1.0077386834195315e-05,10608,532,62,9,0,0,0,0,0,0,0
SAMN56287610,"Chicago (CHI-D1), IL",MU,2025-03-23,696020223,8628,1.2396191539969093e-05,8248,368,7,5,0,0,0,0,0,0,0
SAMN56287611,"Chicago (CHI-D1), IL",MU,2025-03-30,814192772,10890,1.3375210852399952e-05,10343,465,73,8,0,0,0,0,0,0,1
SAMN56287612,"Chicago (CHI-D1), IL",MU,2025-04-06,1079991903,29165,2.7004832090856888e-05,27491,1480,186,7,0,0,0,0,0,0,1
SAMN56287613,"Chicago (CHI-D1), IL",MU,2025-04-13,1061714846,35017,3.29815487952591e-05,33399,1450,155,13,0,0,0,0,0,0,0
SAMN56287614,"Chicago (CHI-D1), IL",MU,2025-04-20,735104598,3258,4.432022339220901e-06,3064,161,29,4,0,0,0,0,0,0,0
SAMN56287615,"Chicago (CHI-D1), IL",MU,2025-04-27,617290907,33618,5.446054626558755e-05,31821,1616,147,33,0,0,0,0,0,0,1
SAMN56287616,"Chicago (CHI-D1), IL",MU,2025-05-04,689091675,45825,6.650058571669727e-05,43910,1730,165,20,0,0,0,0,0,0,0
SAMN56287617,"Chicago (CHI-D1), IL",MU,2025-05-11,1221009127,59654,4.8856309654759856e-05,57328,1996,302,28,0,0,0,0,0,0,0
SAMN56287618,"Chicago (CHI-D1), IL",MU,2025-05-18,1056225642,116355,0.0001101611202883,112014,3874,433,28,0,0,0,0,0,0,6
SAMN56287619,"Chicago (CHI-D1), IL",MU,2025-05-25,1066199695,108535,0.000101796127413,103766,4224,490,54,0,0,0,0,0,0,1
SAMN56287620,"Chicago (CHI-D1), IL",MU,2025-06-01,884943379,202326,0.0002286315766649,195117,6362,755,85,0,0,0,0,0,0,7
SAMN53135019,"Chicago (CHI-D1), IL",MU,2025-06-08,1389689518,131007,9.42706973774555e-05,125812,4745,399,51,0,0,0,0,0,0,0
SAMN53135021,"Chicago (CHI-D1), IL",MU,2025-06-15,1518775745,97706,6.433207820289492e-05,93682,3623,367,34,0,0,0,0,0,0,0
SAMN53135023,"Chicago (CHI-D1), IL",MU,2025-06-22,1493563799,284137,0.0001902409526732,272314,10262,1373,183,0,0,0,0,0,0,5
SAMN53135025,"Chicago (CHI-D1), IL",MU,2025-06-29,1202839200,56358,4.685414309743147e-05,51039,4807,456,56,0,0,0,0,0,0,0
SAMN56287621,"Chicago (CHI-D1), IL",MU,2025-07-06,1043771959,75361,7.220063669098817e-05,67099,7229,930,87,0,0,0,0,0,0,16
SAMN56287622,"Chicago (CHI-D1), IL",MU,2025-07-13,968287811,28588,2.952427953262751e-05,23727,4697,164,0,0,0,0,0,0,0,0
SAMN56287623,"Chicago (CHI-D1), IL",MU,2025-07-20,1047343938,15316,1.4623658422320482e-05,11805,3251,260,0,0,0,0,0,0,0,0
SAMN56287624,"Chicago (CHI-D1), IL",MU,2025-07-27,1138062531,3861,3.39260795855162e-06,3241,542,54,24,0,0,0,0,0,0,0
SAMN56287625,"Chicago (CHI-D1), IL",MU,2025-08-03,1004199762,29120,2.8998214401090448e-05,23347,5611,141,21,0,0,0,0,0,0,0
SAMN56287626,"Chicago (CHI-D1), IL",MU,2025-08-10,825053509,41412,5.019310814178962e-05,34779,6162,417,54,0,0,0,0,0,0,0
SAMN56287627,"Chicago (CHI-D1), IL",MU,2025-08-17,922703072,5690,6.166664198555957e-06,5053,620,17,0,0,0,0,0,0,0,0
SAMN56287628,"Chicago (CHI-D1), IL",MU,2025-08-26,754882217,6125,8.113848574074967e-06,4108,1537,480,0,0,0,0,0,0,0,0
SAMN56287629,"Chicago (CHI-D1), IL",MU,2025-08-31,843277241,1715,2.0337321068528634e-06,1386,318,11,0,0,0,0,0,0,0,0
SAMN56287630,"Chicago (CHI-D1), IL",MU,2025-09-07,1051052911,15553,1.479754238557073e-05,12371,3084,79,19,0,0,0,0,0,0,0
SAMN56287631,"Chicago (CHI-D1), IL",MU,2025-09-14,866198745,5819,6.717857805254613e-06,4906,839,68,6,0,0,0,0,0,0,0
SAMN56287632,"Chicago (CHI-D1), IL",MU,2025-09-21,793885581,9062,1.1414743153018672e-05,7205,1712,129,16,0,0,0,0,0,0,0
SAMN56287633,"Chicago (CHI-D1), IL",MU,2025-09-28,924560978,32301,3.4936581543678345e-05,26949,4831,465,47,0,0,0,0,0,0,9
SAMN56287634,"Chicago (CHI-D1), IL",MU,2025-10-05,930822834,35142,3.7753693524024575e-05,28374,6174,567,8,0,0,0,0,0,0,19
SAMN53135074,"Chicago (CHI-D1), IL",MU,2025-10-12,1370742847,21751,1.586803830317562e-05,15725,5725,241,59,0,0,0,0,0,0,1
SAMN53135076,"Chicago (CHI-D1), IL",MU,2025-10-19,1249038970,13532,1.0833929384925436e-05,8736,4578,188,23,0,0,0,0,0,0,7
SAMN54610796,"Chicago (CHI-D1), IL",MU,2025-10-26,1331465224,12547,9.423453030418764e-06,10208,2219,99,21,0,0,0,0,0,0,0
SAMN54610797,"Chicago (CHI-D1), IL",MU,2025-11-02,1126334418,28857,2.5620277191955613e-05,24076,4430,286,61,0,0,0,0,0,0,4
SAMN54610798,"Chicago (CHI-D1), IL",MU,2025-11-09,1111330081,16785,1.5103523504822688e-05,14008,2562,172,41,0,0,0,0,0,0,2
SAMN54610799,"Chicago (CHI-D1), IL",MU,2025-11-16,1462635149,20971,1.433782034729428e-05,18433,2284,231,22,0,0,0,0,0,0,1
SAMN54610800,"Chicago (CHI-D1), IL",MU,2025-11-23,778960601,48690,6.250637058856845e-05,43998,4221,385,83,0,0,0,0,0,0,3
SAMN54610801,"Chicago (CHI-D1), IL",MU,2025-11-30,706857862,40571,5.739626335230604e-05,36693,3563,256,59,0,0,0,0,0,0,0
SAMN55038724,"Chicago (CHI-D1), IL",MU,2025-12-07,967975246,52023,5.374414295714335e-05,46721,4858,376,63,0,0,0,0,0,0,5
SAMN55038725,"Chicago (CHI-D1), IL",MU,2025-12-14,975560481,9657,9.898924964755724e-06,8652,929,69,5,0,0,0,0,0,0,2
SAMN55038726,"Chicago (CHI-D1), IL",MU,2025-12-21,1164819437,19389,1.664549833572188e-05,17203,2103,53,28,0,0,0,0,0,0,2
SAMN55038727,"Chicago (CHI-D1), IL",MU,2025-12-28,865149109,4374,5.055775882443867e-06,3854,476,27,16,0,0,0,0,0,0,1
SAMN47830431,"Chicago (CHI-D2), IL",MU,2024-09-15,863829619,6837,7.914755236009105e-06,5891,833,80,31,0,0,0,0,0,0,2
SAMN47830458,"Chicago (CHI-D2), IL",MU,2024-10-27,952344124,3634,3.815847558061901e-06,2958,623,37,16,0,0,0,0,0,0,0
SAMN47830464,"Chicago (CHI-D2), IL",MU,2024-11-03,730995773,12416,1.698505033626234e-05,11134,1195,38,48,0,0,0,0,0,0,1
SAMN47830470,"Chicago (CHI-D2), IL",MU,2024-11-10,761792612,8047,1.0563242374947056e-05,6851,1075,88,33,0,0,0,0,0,0,0
SAMN47830476,"Chicago (CHI-D2), IL",MU,2024-11-17,634742310,10084,1.5886761983772595e-05,8711,1238,110,25,0,0,0,0,0,0,0
SAMN47830483,"Chicago (CHI-D2), IL",MU,2024-11-24,784197612,19089,2.4342078715740847e-05,17795,1155,102,35,0,0,0,0,0,0,2
SAMN47830490,"Chicago (CHI-D2), IL",MU,2024-12-01,681432187,36048,5.290034824844574e-05,32029,3716,235,63,0,0,0,0,0,0,5
SAMN47830494,"Chicago (CHI-D2), IL",MU,2024-12-08,858732966,45506,5.29920263943844e-05,39429,5444,440,192,0,0,0,0,0,0,1
SAMN47830502,"Chicago (CHI-D2), IL",MU,2024-12-15,1051988438,33043,3.141004102936728e-05,29239,3274,429,101,0,0,0,0,0,0,0
SAMN47830510,"Chicago (CHI-D2), IL",MU,2024-12-22,1114048314,46301,4.1561034129440814e-05,42394,3317,493,97,0,0,0,0,0,0,0
SAMN47830517,"Chicago (CHI-D2), IL",MU,2024-12-29,1119996681,15511,1.3849148183323946e-05,14078,1257,132,42,0,0,0,0,0,0,2
SAMN47830525,"Chicago (CHI-D2), IL",MU,2025-01-05,1351217967,77495,5.735196089203571e-05,70848,5859,648,133,0,0,0,0,0,0,7
SAMN47830533,"Chicago (CHI-D2), IL",MU,2025-01-12,824702407,12028,1.4584654898430532e-05,10887,1040,87,14,0,0,0,0,0,0,0
SAMN47830541,"Chicago (CHI-D2), IL",MU,2025-01-19,2078243291,91373,4.396645974785442e-05,82649,7742,845,131,0,0,0,0,0,0,6
SAMN47830548,"Chicago (CHI-D2), IL",MU,2025-01-26,909459929,24077,2.647395364243695e-05,22062,1814,174,26,0,0,0,0,0,0,1
SAMN47830556,"Chicago (CHI-D2), IL",MU,2025-02-02,880029649,6839,7.7713290771184e-06,6310,485,39,5,0,0,0,0,0,0,0
SAMN47830561,"Chicago (CHI-D2), IL",MU,2025-02-09,895994182,12643,1.4110582695725584e-05,11770,747,112,13,0,0,0,0,0,0,1
SAMN47830570,"Chicago (CHI-D2), IL",MU,2025-02-17,1112453200,57080,5.131002364863528e-05,53056,3580,399,45,0,0,0,0,0,0,0
SAMN47830578,"Chicago (CHI-D2), IL",MU,2025-02-23,1024131283,20014,1.9542416418891875e-05,18860,978,157,19,0,0,0,0,0,0,0
SAMN47830584,"Chicago (CHI-D2), IL",MU,2025-03-02,974114364,122164,0.0001254103260507,116426,4706,983,47,0,0,0,0,0,0,2
SAMN47830594,"Chicago (CHI-D2), IL",MU,2025-03-09,902481950,19829,2.197163056834544e-05,19241,467,115,6,0,0,0,0,0,0,0
SAMN56287635,"Chicago (CHI-D2), IL",MU,2025-03-16,893269193,19577,2.1916125792104867e-05,18984,496,87,10,0,0,0,0,0,0,0
